,date,long_trades,short_trades,short_returns,long_returns,total_returns,initial_investment,total_capital,total_investment,returns_1,transaction_cost,weekly_date,monthly_date
101,2019-08-26,8,56,644.0798492431641,87.59001159667969,731.6698608398438,2712.184928894043,5424.369857788086,47315.86005783081,0.07316698608398438,960.9505983734131,2019-08-19,2019-07-27
102,2019-08-27,9,56,644.0798492431641,91.43010711669922,735.5099563598633,2712.184928894043,3922.699836730957,48817.53007888794,0.07355099563598633,991.0608007049561,2019-08-20,2019-07-28
103,2019-08-28,11,56,644.0798492431641,96.449951171875,740.5298004150391,1961.3499183654785,2706.6198654174805,50033.610050201416,0.0740529800415039,1015.4827970123291,2019-08-21,2019-07-29
104,2019-08-29,10,57,652.5698547363281,77.19992065429688,729.769775390625,1353.3099327087402,2825.5598678588867,50033.610050201416,0.0729769775390625,1015.2675965118408,2019-08-22,2019-07-30
105,2019-08-30,10,58,648.6498565673828,103.30989837646484,751.9597549438477,1412.7799339294434,2259.269874572754,50759.46004104614,0.07519597549438477,1030.2283959197998,2019-08-23,2019-07-31
106,2019-08-31,10,58,648.6498565673828,103.30989837646484,751.9597549438477,1129.634937286377,2259.269874572754,50759.46004104614,0.07519597549438477,1030.2283959197998,2019-08-24,2019-08-01
107,2019-09-05,9,59,629.4498519897461,118.2000961303711,747.6499481201172,1129.634937286377,2515.0498809814453,50759.46004104614,0.07476499481201172,1030.1421997833252,2019-08-29,2019-08-06
108,2019-09-06,9,62,613.6997909545898,71.77001953125,685.4698104858398,1257.5249404907227,4926.849796295166,51974.05005645752,0.06854698104858399,1053.1903973388671,2019-08-30,2019-08-07
109,2019-09-07,9,62,613.6997909545898,71.77001953125,685.4698104858398,2463.424898147583,4926.849796295166,51974.05005645752,0.06854698104858399,1053.1903973388671,2019-08-31,2019-08-08
110,2019-09-08,9,62,613.6997909545898,71.77001953125,685.4698104858398,2463.424898147583,4926.849796295166,51974.05005645752,0.06854698104858399,1053.1903973388671,2019-09-01,2019-08-09
111,2019-09-09,3,69,547.5397415161133,-7.829978942871094,539.7097625732422,2463.424898147583,9023.189762115479,52617.09003448486,0.05397097625732422,1082.8055959320068,2019-09-02,2019-08-10
112,2019-09-10,4,70,532.859748840332,3.6300201416015625,536.4897689819336,4511.594881057739,5153.039863586426,57115.59991836548,0.05364897689819336,1153.041793746948,2019-09-03,2019-08-11
113,2019-09-11,5,70,532.859748840332,37.12000274658203,569.9797515869141,2576.519931793213,3996.0898361206055,58272.5499458313,0.05699797515869141,1176.8505939483641,2019-09-04,2019-08-12
114,2019-09-12,6,70,532.859748840332,73.63020706176758,606.4899559020996,1998.0449180603027,2885.6798095703125,59382.95997238159,0.06064899559020996,1199.7889985656739,2019-09-05,2019-08-13
115,2019-09-13,7,71,476.80992889404297,33.169944763183594,509.97987365722656,1442.8399047851562,3675.939884185791,60583.359996795654,0.050997987365722655,1221.8667974090577,2019-09-06,2019-08-14
116,2019-09-14,7,71,476.80992889404297,33.169944763183594,509.97987365722656,1837.9699420928955,3675.939884185791,60583.359996795654,0.050997987365722655,1221.8667974090577,2019-09-07,2019-08-15
117,2019-09-15,7,71,476.80992889404297,33.169944763183594,509.97987365722656,1837.9699420928955,3675.939884185791,60583.359996795654,0.050997987365722655,1221.8667974090577,2019-09-08,2019-08-16
118,2019-09-16,7,72,478.6499710083008,30.909896850585938,509.5598678588867,1837.9699420928955,5666.4398765563965,61046.50001144409,0.050955986785888675,1231.1211975860597,2019-09-09,2019-08-17
119,2019-09-17,7,72,478.6499710083008,76.93981552124023,555.589786529541,2833.2199382781982,5666.4398765563965,61046.50001144409,0.0555589786529541,1232.041795959473,2019-09-10,2019-08-18
120,2019-09-18,7,72,478.6499710083008,87.47990036010742,566.1298713684082,2833.2199382781982,5666.4398765563965,61046.50001144409,0.05661298713684082,1232.2525976562501,2019-09-11,2019-08-19
121,2019-09-19,7,73,452.9699478149414,81.0699462890625,534.0398941040039,2833.2199382781982,4965.4598960876465,62170.999980926514,0.05340398941040039,1254.1007975006103,2019-09-12,2019-08-20
122,2019-09-20,8,73,452.9699478149414,85.9199447631836,538.889892578125,2482.7299480438232,4124.759883880615,63011.699993133545,0.0538889892578125,1271.0117977142334,2019-09-13,2019-08-21
123,2019-09-21,8,73,452.9699478149414,85.9199447631836,538.889892578125,2062.3799419403076,4124.759883880615,63011.699993133545,0.0538889892578125,1271.0117977142334,2019-09-14,2019-08-22
124,2019-09-22,8,73,452.9699478149414,85.9199447631836,538.889892578125,2062.3799419403076,4124.759883880615,63011.699993133545,0.0538889892578125,1271.0117977142334,2019-09-15,2019-08-23
125,2019-09-23,9,73,452.9699478149414,98.08991622924805,551.0598640441895,2062.3799419403076,3330.359920501709,63806.09995651245,0.055105986404418945,1287.1431964111327,2019-09-16,2019-08-24
126,2019-09-24,10,73,452.9699478149414,126.68003463745117,579.6499824523926,1665.1799602508545,2650.139904022217,64486.31997299194,0.057964998245239256,1301.3193991088867,2019-09-17,2019-08-25
127,2019-09-25,10,73,452.9699478149414,154.82980346679688,607.7997512817383,1325.0699520111084,2650.139904022217,64486.31997299194,0.060779975128173826,1301.8823944854737,2019-09-18,2019-08-26
128,2019-09-26,10,74,434.26993560791016,179.86997985839844,614.1399154663086,1325.0699520111084,2776.1198921203613,65182.3399848938,0.06141399154663086,1315.9295980072022,2019-09-19,2019-08-27
129,2019-09-27,10,75,433.48994064331055,157.10994338989258,590.5998840332031,1388.0599460601807,2201.7398948669434,65871.91998672485,0.059059988403320315,1329.2503974151612,2019-09-20,2019-08-28
130,2019-09-28,10,75,433.48994064331055,157.10994338989258,590.5998840332031,1100.8699474334717,2201.7398948669434,65871.91998672485,0.059059988403320315,1329.2503974151612,2019-09-21,2019-08-29
131,2019-09-29,10,75,433.48994064331055,157.10994338989258,590.5998840332031,1100.8699474334717,2201.7398948669434,65871.91998672485,0.059059988403320315,1329.2503974151612,2019-09-22,2019-08-30
132,2019-09-30,10,76,421.13993072509766,193.02993774414062,614.1698684692383,1100.8699474334717,2847.4898986816406,65909.8399848938,0.06141698684692383,1330.4801970672606,2019-09-23,2019-08-31
133,2019-10-05,10,76,421.13993072509766,193.02993774414062,614.1698684692383,1423.7449493408203,2847.4898986816406,65909.8399848938,0.06141698684692383,1330.4801970672606,2019-09-28,2019-09-05
134,2019-10-06,10,76,421.13993072509766,193.02993774414062,614.1698684692383,1423.7449493408203,2847.4898986816406,65909.8399848938,0.06141698684692383,1330.4801970672606,2019-09-29,2019-09-06
135,2019-10-07,8,81,450.3898162841797,92.65993118286133,543.049747467041,1423.7449493408203,5313.039756774902,67296.40002059937,0.0543049747467041,1356.788995361328,2019-09-30,2019-09-07
136,2019-10-08,7,83,473.599853515625,47.78986358642578,521.3897171020508,2656.519878387451,3911.4996490478516,69911.95013809204,0.05213897171020508,1408.666797103882,2019-10-01,2019-09-08
137,2019-10-09,8,83,473.599853515625,55.38981628417969,528.9896697998047,1955.7498245239258,1981.209716796875,71842.24007034302,0.05289896697998047,1447.4245948028565,2019-10-02,2019-09-09
138,2019-10-10,11,83,473.599853515625,96.18005752563477,569.7799110412598,990.6048583984375,1004.9497032165527,72818.50008392334,0.05697799110412598,1467.765599899292,2019-10-03,2019-09-10
139,2019-10-11,9,85,354.29980087280273,160.83996963500977,515.1397705078125,502.47485160827637,3539.1197662353516,72818.50008392334,0.05151397705078125,1466.672797088623,2019-10-04,2019-09-11
140,2019-10-12,9,85,354.29980087280273,160.83996963500977,515.1397705078125,1769.5598831176758,3539.1197662353516,72818.50008392334,0.05151397705078125,1466.672797088623,2019-10-05,2019-09-12
141,2019-10-13,9,85,354.29980087280273,160.83996963500977,515.1397705078125,1769.5598831176758,3539.1197662353516,72818.50008392334,0.05151397705078125,1466.672797088623,2019-10-06,2019-09-13
142,2019-10-14,8,86,364.13976669311523,149.37992477416992,513.5196914672852,1769.5598831176758,4300.159744262695,72818.50008392334,0.051351969146728516,1466.6403955078126,2019-10-07,2019-09-14
143,2019-10-15,8,86,364.13976669311523,237.7399673461914,601.8797340393066,2150.0798721313477,4300.159744262695,72818.50008392334,0.060187973403930665,1468.407596359253,2019-10-08,2019-09-15
144,2019-10-16,8,86,364.13976669311523,234.39001274108887,598.5297794342041,2150.0798721313477,4300.159744262695,72818.50008392334,0.05985297794342041,1468.340597267151,2019-10-09,2019-09-16
145,2019-10-17,8,86,364.13976669311523,261.50000762939453,625.6397743225098,2150.0798721313477,4300.159744262695,72818.50008392334,0.06256397743225098,1468.882797164917,2019-10-10,2019-09-17
146,2019-10-18,7,87,382.94976234436035,236.5099220275879,619.4596843719482,2150.0798721313477,4813.34974861145,72818.50008392334,0.061945968437194826,1468.759195365906,2019-10-11,2019-09-18
147,2019-10-19,7,87,382.94976234436035,236.5099220275879,619.4596843719482,2406.674874305725,4813.34974861145,72818.50008392334,0.061945968437194826,1468.759195365906,2019-10-12,2019-09-19
