,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
62,SJM,2019-07-05,6.0,119.48999786376953,114.51000213623047,2.3543631805022542,117.13563468326728,117.13563468326728,126.5530874052763,126.5530874052763,sell,2019-07-11
63,NRG,2019-07-12,2.0,35.9900016784668,35.9900016784668,0.7227031325281302,35.267298545938665,35.267298545938665,38.158111076051185,38.158111076051185,buy,
64,IQV,2019-06-24,2.0,157.42999267578125,157.36000061035156,3.5443465729373838,153.88564610284388,157.42591768158508,168.0630323945934,171.7040762153364,sell,2019-07-12
65,VTR,2019-07-09,3.0,70.37999725341797,69.12000274658203,1.4629107508861467,68.91708650253182,69.43944097615818,74.76872950607641,75.12167951293172,sell,2019-07-12
66,FOXA,2019-07-15,1.0,37.0099983215332,37.0099983215332,0.7557977624780966,36.25420055905511,36.25420055905511,39.27739160896749,39.27739160896749,buy,
67,KMX,2019-06-26,3.0,84.13999938964844,86.38999938964844,2.0422437248320033,82.09775566481643,87.23246333468829,90.26673056414445,94.28534021303825,sell,2019-07-16
68,TSN,2019-07-08,1.0,81.91999816894531,79.12999725341797,1.8128519416960074,80.1071462272493,80.39949597706074,87.35855399403333,87.40151817233341,sell,2019-07-16
69,NRG,2019-07-12,2.0,35.9900016784668,34.09000015258789,0.7227031325281302,35.267298545938665,35.267298545938665,38.158111076051185,38.158111076051185,sell,2019-07-16
70,FOXA,2019-07-15,1.0,37.0099983215332,36.16999816894531,0.7557977624780966,36.25420055905511,36.25420055905511,39.27739160896749,39.27739160896749,sell,2019-07-17
71,HSY,2019-07-18,4.0,147.5,147.5,2.0074526376457853,145.4925473623542,145.4925473623542,153.52235791293737,153.52235791293737,buy,
72,DG,2019-07-09,6.0,139.5500030517578,142.82000732421875,1.8254168491270104,137.7245862026308,143.17361700450445,145.02625359913884,150.35915386929918,sell,2019-07-18
73,DLTR,2019-07-10,4.0,111.69000244140625,110.12000274658203,2.0661294380085335,109.62387300339772,110.40757175244747,117.88839075543186,118.52667173553847,sell,2019-07-18
74,GM,2019-07-19,18.0,39.47999954223633,39.47999954223633,0.706727653576266,38.77327188866006,38.77327188866006,41.600182502965126,41.600182502965126,buy,
75,EXR,2019-07-08,7.0,109.41999816894531,108.69000244140625,1.7658198529301978,107.65417831601512,110.2990832735312,114.7174577277359,117.06274163448454,sell,2019-07-19
76,MAA,2019-07-11,3.0,121.95999908447266,119.05000305175781,2.0304141106282594,119.9295849738444,119.9295849738444,128.05124141635744,128.05124141635744,sell,2019-07-19
77,HSY,2019-07-18,4.0,147.5,145.17999267578125,2.0074526376457853,145.4925473623542,145.4925473623542,153.52235791293737,153.52235791293737,sell,2019-07-19
78,HSY,2019-07-22,2.0,147.05999755859375,147.05999755859375,2.0455081172294975,145.01448944136425,145.01448944136425,153.19652191028223,153.19652191028223,buy,
79,WMT,2019-06-24,8.0,111.23999786376953,112.81999969482422,1.4256101140682214,109.81438774970131,113.73362862075531,115.51682820597419,118.71912756546845,sell,2019-07-22
